Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
James Thomas Engineering Molefay 8 Cell Blinder,35°,5200W,,,1105,,D.278,Control,1,1.7 8Cell Molefay,,,,,,,10kg,,"-9,839m","5,683m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,85f1d49f-cb0d-42c7-90cd-3b522545c4a7,
James Thomas Engineering Molefay 8 Cell Blinder,35°,5200W,,,1104,,D.277,Control,1,1.7 8Cell Molefay,,,,,,,10kg,,"-12,194m","8,370m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,4a98e6f4-309e-4c7d-80a0-6105039ba639,
James Thomas Engineering Molefay 8 Cell Blinder,35°,5200W,,,1103,,D.276,Control,1,1.7 8Cell Molefay,,,,,,,10kg,,"-12,866m","8,373m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,4236b0ec-0ffb-4967-adca-ae9d688db482,
James Thomas Engineering Molefay 8 Cell Blinder,35°,5200W,,,1102,,D.275,Control,1,1.7 8Cell Molefay,,,,,,,10kg,,"-15,130m","5,75m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,745855ce-c495-488b-8f1b-0621bdf3aab5,
James Thomas Engineering Molefay 8 Cell Blinder,35°,5200W,,,1101,,D.274,Control,1,1.7 8Cell Molefay,,,,,,,10kg,,"-18,962m","4,504m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,be152e89-e392-4ede-9f11-abaed80b3a1e,
James Thomas Engineering Molefay 8 Cell Blinder,35°,5200W,,,1108,,D.281,Control,1,1.7 8Cell Molefay,,,,,,,10kg,,"-2,485m","5,879m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,07d8ae76-23d1-459d-a9fa-7c6b33abd67b,
James Thomas Engineering Molefay 8 Cell Blinder,35°,5200W,,,1109,,D.282,Control,1,1.7 8Cell Molefay,,,,,,,10kg,,"-0,882m","10,780m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,8747de41-1b83-42b0-9d2d-7907d624b95d,
James Thomas Engineering Molefay 8 Cell Blinder,35°,5200W,,,1110,,D.283,Control,1,1.7 8Cell Molefay,,,,,,,10kg,,"0,002m","14,124m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,40d0c118-dc74-4e18-9266-674183f44b95,
James Thomas Engineering Molefay 8 Cell Blinder,35°,5200W,,,1113,,D.286,Control,1,1.7 8Cell Molefay,,,,,,,10kg,,"5,095m","4,513m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,f95152fe-7ad0-48ba-9fa1-3eebbaf8a4cf,
James Thomas Engineering Molefay 8 Cell Blinder,35°,5200W,,,1114,,D.287,Control,1,1.7 8Cell Molefay,,,,,,,10kg,,"6,308m","4,503m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,b3273848-bc2a-42d8-ba6e-a144ee8f83cb,
James Thomas Engineering Molefay 8 Cell Blinder,35°,5200W,,,1115,,D.288,Control,1,1.7 8Cell Molefay,,,,,,,10kg,,"9,839m","5,683m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,e8f199fd-9004-4c8f-8361-2ced34b93144,
James Thomas Engineering Molefay 8 Cell Blinder,35°,5200W,,,1116,,D.289,Control,1,1.7 8Cell Molefay,,,,,,,10kg,,"12,194m","8,370m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,3fed6459-445b-49d3-876d-c1e04f6c1115,
James Thomas Engineering Molefay 8 Cell Blinder,35°,5200W,,,1117,,D.290,Control,1,1.7 8Cell Molefay,,,,,,,10kg,,"12,866m","8,373m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,b8e9278b-e8e4-4277-b5f2-3b960cda5ec9,
James Thomas Engineering Molefay 8 Cell Blinder,35°,5200W,,,1118,,D.291,Control,1,1.7 8Cell Molefay,,,,,,,10kg,,"15,130m","5,75m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,9ad03d70-d67d-4370-b096-71c9e956632e,
James Thomas Engineering Molefay 8 Cell Blinder,35°,5200W,,,1119,,D.292,Control,1,1.7 8Cell Molefay,,,,,,,10kg,,"18,962m","4,504m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,6f768930-5b84-4a78-8464-e750575f75e1,
James Thomas Engineering Molefay 8 Cell Blinder,35°,5200W,,,1112,,D.285,Control,1,1.7 8Cell Molefay,,,,,,,10kg,,"2,485m","5,879m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,da1139ca-60e6-49d6-9798-1590e8d31a53,
James Thomas Engineering Molefay 8 Cell Blinder,35°,5200W,,,1111,,D.284,Control,1,1.7 8Cell Molefay,,,,,,,10kg,,"0,882m","10,780m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,c2dbd653-42a5-40ec-80ee-c6fc84a9c27d,
Martin Atomic 3000 LED,135° x 82°,740W,,,1005,,D.241,3 Channel Mode,3,1.8 Martin Atomic 3000 LED,,,,,,,"7,8kg",,"-3,806m","4,846m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,b6c7ad31-8d25-45fb-a4a8-b77424e57486,
Martin Atomic 3000 LED,135° x 82°,740W,,,1006,,D.244,3 Channel Mode,3,1.8 Martin Atomic 3000 LED,,,,,,,"7,8kg",,"-1,118m","8,060m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,9c9dc9f9-093e-4bdf-971e-2b33d59a4938,
Martin Atomic 3000 LED,135° x 82°,740W,,,1007,,D.247,3 Channel Mode,3,1.8 Martin Atomic 3000 LED,,,,,,,"7,8kg",,"0,002m","13,472m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,1924ed0e-3141-4a8b-ad5f-dba11bde53b6,
