Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
Chauvet Rogue R3 Spot,13° - 37°,492W,,,501,,C.419,19 Channel Mode,19,1.1 Tower Chauvet R3 Spots,,,,,,,"22,7kg",,"-14,997m","9,678m","51,018m",-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,f29ee8e5-e0ec-4ca4-afb4-57532e05cad0,
Chauvet Rogue R3 Spot,13° - 37°,492W,,,502,,C.438,19 Channel Mode,19,1.1 Tower Chauvet R3 Spots,,,,,,,"22,7kg",,"-13,925m","9,678m","49,99m",0°,90°,0°,0°,0°,No,0°,0°,No,0°,0°,a678bedf-416f-41c5-b4bb-72b31c126ce8,
Chauvet Rogue R3 Spot,13° - 37°,492W,,,503,,C.457,19 Channel Mode,19,1.1 Tower Chauvet R3 Spots,,,,,,,"22,7kg",,"-14,988m","9,678m","48,931m",-180°,"0,0°",-180°,0°,0°,No,0°,0°,No,0°,0°,feaba8ab-339d-4989-876b-bf7c8d36f64c,
Chauvet Rogue R3 Spot,13° - 37°,492W,,,504,,C.476,19 Channel Mode,19,1.1 Tower Chauvet R3 Spots,,,,,,,"22,7kg",,"-16,04m","9,678m","49,966m",0°,-90°,0°,0°,0°,No,0°,0°,No,0°,0°,03177154-63cd-41a9-98e9-f0c381cb989a,
Chauvet Rogue R3 Spot,13° - 37°,492W,,,505,,D.1,19 Channel Mode,19,1.1 Tower Chauvet R3 Spots,,,,,,,"22,7kg",,"-14,997m","9,678m","81,008m",-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,4c3ab296-44cc-438b-be92-8ee7548185d4,
Chauvet Rogue R3 Spot,13° - 37°,492W,,,506,,D.20,19 Channel Mode,19,1.1 Tower Chauvet R3 Spots,,,,,,,"22,7kg",,"-13,925m","9,678m","79,98m",0°,90°,0°,0°,0°,No,0°,0°,No,0°,0°,514dd557-1f74-495f-9363-3412be981fef,
Chauvet Rogue R3 Spot,13° - 37°,492W,,,507,,D.39,19 Channel Mode,19,1.1 Tower Chauvet R3 Spots,,,,,,,"22,7kg",,"-14,988m","9,678m","78,921m",-180°,"0,0°",-180°,0°,0°,No,0°,0°,No,0°,0°,17aa250a-3481-4acc-95ac-6dc7b57e8774,
Chauvet Rogue R3 Spot,13° - 37°,492W,,,508,,D.58,19 Channel Mode,19,1.1 Tower Chauvet R3 Spots,,,,,,,"22,7kg",,"-16,04m","9,678m","79,956m",0°,-90°,0°,0°,0°,No,0°,0°,No,0°,0°,12b5fdb1-9a4f-4c6d-9049-23ce1a67bf57,
Chauvet Rogue R3 Spot,13° - 37°,492W,,,509,,D.77,19 Channel Mode,19,1.1 Tower Chauvet R3 Spots,,,,,,,"22,7kg",,"15,003m","9,678m","51,018m",-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,dccf98f1-be74-4449-88ec-db5d6cd78a9b,
Chauvet Rogue R3 Spot,13° - 37°,492W,,,510,,D.96,19 Channel Mode,19,1.1 Tower Chauvet R3 Spots,,,,,,,"22,7kg",,"16,075m","9,678m","49,99m",0°,90°,0°,0°,0°,No,0°,0°,No,0°,0°,d366c232-4fbd-49f7-8adb-49002de0902d,
Chauvet Rogue R3 Spot,13° - 37°,492W,,,511,,D.115,19 Channel Mode,19,1.1 Tower Chauvet R3 Spots,,,,,,,"22,7kg",,"15,012m","9,678m","48,931m",-180°,"0,0°",-180°,0°,0°,No,0°,0°,No,0°,0°,e5764af1-51bc-4cf2-a9ed-dc6ce73efb83,
Chauvet Rogue R3 Spot,13° - 37°,492W,,,512,,D.134,19 Channel Mode,19,1.1 Tower Chauvet R3 Spots,,,,,,,"22,7kg",,"13,96m","9,678m","49,966m",0°,-90°,0°,0°,0°,No,0°,0°,No,0°,0°,756235d2-85a5-44f8-ab28-6a279fd84092,
Chauvet Rogue R3 Spot,13° - 37°,492W,,,513,,D.153,19 Channel Mode,19,1.1 Tower Chauvet R3 Spots,,,,,,,"22,7kg",,"15,003m","9,678m","81,008m",-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,958b42cf-b99d-49dc-856d-af7af7327ff2,
Chauvet Rogue R3 Spot,13° - 37°,492W,,,514,,D.172,19 Channel Mode,19,1.1 Tower Chauvet R3 Spots,,,,,,,"22,7kg",,"16,075m","9,678m","79,98m",0°,90°,0°,0°,0°,No,0°,0°,No,0°,0°,52a27d97-fde1-45df-9687-2f872904cdf8,
Chauvet Rogue R3 Spot,13° - 37°,492W,,,515,,D.191,19 Channel Mode,19,1.1 Tower Chauvet R3 Spots,,,,,,,"22,7kg",,"15,012m","9,678m","78,921m",-180°,"0,0°",-180°,0°,0°,No,0°,0°,No,0°,0°,ae577511-0a19-41ee-9d49-a907ff1ad5b7,
Chauvet Rogue R3 Spot,13° - 37°,492W,,,516,,D.210,19 Channel Mode,19,1.1 Tower Chauvet R3 Spots,,,,,,,"22,7kg",,"13,96m","9,678m","79,956m",0°,-90°,0°,0°,0°,No,0°,0°,No,0°,0°,7471b35f-de9e-487b-8ac8-26c9a067923a,
